step,bot type,sender,recipient,accept?,number of sender sc,number of recipient sc
1,transparent,ENGLAND,FRANCE,1,3,3
1,transparent,FRANCE,FRANCE,1,3,3
1,transparent,GERMANY,FRANCE,1,3,3
1,transparent,ITALY,FRANCE,1,3,3
1,transparent,RUSSIA,FRANCE,1,4,3
1,transparent,AUSTRIA,GERMANY,1,3,3
1,transparent,ENGLAND,GERMANY,1,3,3
1,transparent,FRANCE,GERMANY,1,3,3
1,transparent,GERMANY,GERMANY,1,3,3
1,transparent,ITALY,GERMANY,1,3,3
1,transparent,RUSSIA,GERMANY,1,4,3
1,transparent,AUSTRIA,ITALY,1,3,3
1,transparent,ENGLAND,ITALY,1,3,3
1,transparent,FRANCE,ITALY,1,3,3
1,transparent,GERMANY,ITALY,1,3,3
1,transparent,ITALY,ITALY,1,3,3
1,transparent,RUSSIA,ITALY,1,4,3
1,transparent,AUSTRIA,RUSSIA,1,3,4
1,transparent,ENGLAND,RUSSIA,1,3,4
1,transparent,FRANCE,RUSSIA,1,3,4
1,transparent,GERMANY,RUSSIA,1,3,4
1,transparent,ITALY,RUSSIA,1,3,4
1,transparent,RUSSIA,RUSSIA,1,4,4
1,transparent,AUSTRIA,TURKEY,1,3,3
1,transparent,ENGLAND,TURKEY,1,3,3
1,transparent,FRANCE,TURKEY,1,3,3
1,transparent,GERMANY,TURKEY,1,3,3
1,transparent,ITALY,TURKEY,1,3,3
1,transparent,RUSSIA,TURKEY,1,4,3
3,transparent,AUSTRIA,AUSTRIA,1,4,4
3,transparent,ENGLAND,AUSTRIA,1,4,4
3,transparent,FRANCE,AUSTRIA,1,6,4
3,transparent,GERMANY,AUSTRIA,1,5,4
3,transparent,ITALY,AUSTRIA,1,4,4
3,transparent,RUSSIA,AUSTRIA,0,6,4
3,RL,TURKEY,AUSTRIA,1,4,4
3,transparent,AUSTRIA,ENGLAND,1,4,4
3,transparent,ENGLAND,ENGLAND,1,4,4
3,transparent,FRANCE,ENGLAND,1,6,4
3,transparent,GERMANY,ENGLAND,1,5,4
3,transparent,ITALY,ENGLAND,1,4,4
3,transparent,RUSSIA,ENGLAND,1,6,4
3,transparent,AUSTRIA,FRANCE,1,4,6
3,transparent,ENGLAND,FRANCE,1,4,6
3,transparent,FRANCE,FRANCE,1,6,6
3,transparent,GERMANY,FRANCE,1,5,6
3,transparent,ITALY,FRANCE,1,4,6
3,transparent,RUSSIA,FRANCE,1,6,6
3,transparent,AUSTRIA,GERMANY,1,4,5
3,transparent,ENGLAND,GERMANY,1,4,5
3,transparent,FRANCE,GERMANY,1,6,5
3,transparent,GERMANY,GERMANY,1,5,5
3,transparent,ITALY,GERMANY,1,4,5
3,transparent,RUSSIA,GERMANY,1,6,5
3,transparent,AUSTRIA,ITALY,1,4,4
3,transparent,ENGLAND,ITALY,1,4,4
3,transparent,FRANCE,ITALY,1,6,4
3,transparent,GERMANY,ITALY,1,5,4
3,transparent,ITALY,ITALY,1,4,4
3,transparent,RUSSIA,ITALY,1,6,4
3,transparent,AUSTRIA,RUSSIA,1,4,6
3,transparent,ENGLAND,RUSSIA,1,4,6
3,transparent,FRANCE,RUSSIA,1,6,6
3,transparent,GERMANY,RUSSIA,1,5,6
3,transparent,ITALY,RUSSIA,1,4,6
3,transparent,RUSSIA,RUSSIA,1,6,6
3,transparent,AUSTRIA,TURKEY,1,4,4
3,transparent,ENGLAND,TURKEY,1,4,4
3,transparent,FRANCE,TURKEY,1,6,4
3,transparent,GERMANY,TURKEY,1,5,4
3,transparent,ITALY,TURKEY,1,4,4
3,transparent,RUSSIA,TURKEY,1,6,4
5,transparent,AUSTRIA,AUSTRIA,1,4,4
5,transparent,ENGLAND,AUSTRIA,1,4,4
5,transparent,FRANCE,AUSTRIA,1,6,4
5,transparent,GERMANY,AUSTRIA,1,5,4
5,transparent,ITALY,AUSTRIA,0,4,4
5,transparent,RUSSIA,AUSTRIA,0,6,4
5,transparent,AUSTRIA,ENGLAND,1,4,4
5,transparent,ENGLAND,ENGLAND,1,4,4
5,transparent,FRANCE,ENGLAND,1,6,4
5,transparent,GERMANY,ENGLAND,1,5,4
5,transparent,ITALY,ENGLAND,1,4,4
5,transparent,RUSSIA,ENGLAND,1,6,4
5,transparent,AUSTRIA,FRANCE,1,4,6
5,transparent,ENGLAND,FRANCE,1,4,6
5,transparent,FRANCE,FRANCE,1,6,6
5,transparent,GERMANY,FRANCE,1,5,6
5,transparent,ITALY,FRANCE,1,4,6
5,transparent,RUSSIA,FRANCE,1,6,6
5,transparent,AUSTRIA,GERMANY,1,4,5
5,transparent,ENGLAND,GERMANY,1,4,5
5,transparent,FRANCE,GERMANY,1,6,5
5,transparent,GERMANY,GERMANY,1,5,5
5,transparent,ITALY,GERMANY,1,4,5
5,transparent,RUSSIA,GERMANY,1,6,5
5,transparent,AUSTRIA,ITALY,1,4,4
5,transparent,ENGLAND,ITALY,1,4,4
5,transparent,FRANCE,ITALY,1,6,4
5,transparent,GERMANY,ITALY,1,5,4
5,transparent,ITALY,ITALY,1,4,4
5,transparent,RUSSIA,ITALY,1,6,4
5,transparent,AUSTRIA,RUSSIA,0,4,6
5,transparent,ENGLAND,RUSSIA,1,4,6
5,transparent,FRANCE,RUSSIA,1,6,6
5,transparent,GERMANY,RUSSIA,0,5,6
5,transparent,ITALY,RUSSIA,1,4,6
5,transparent,RUSSIA,RUSSIA,1,6,6
5,transparent,AUSTRIA,TURKEY,1,4,4
5,transparent,ENGLAND,TURKEY,1,4,4
5,transparent,FRANCE,TURKEY,1,6,4
5,transparent,GERMANY,TURKEY,1,5,4
5,transparent,ITALY,TURKEY,1,4,4
5,transparent,RUSSIA,TURKEY,1,6,4
5,RL,TURKEY,TURKEY,1,4,4
7,transparent,AUSTRIA,AUSTRIA,1,4,4
7,transparent,ENGLAND,AUSTRIA,1,3,4
7,transparent,FRANCE,AUSTRIA,1,6,4
7,transparent,GERMANY,AUSTRIA,1,6,4
7,transparent,ITALY,AUSTRIA,0,5,4
7,transparent,RUSSIA,AUSTRIA,0,5,4
7,transparent,AUSTRIA,ENGLAND,1,4,3
7,transparent,ENGLAND,ENGLAND,1,3,3
7,transparent,FRANCE,ENGLAND,1,6,3
7,transparent,GERMANY,ENGLAND,1,6,3
7,transparent,ITALY,ENGLAND,1,5,3
7,transparent,RUSSIA,ENGLAND,1,5,3
7,transparent,AUSTRIA,FRANCE,1,4,6
7,transparent,ENGLAND,FRANCE,0,3,6
7,transparent,FRANCE,FRANCE,1,6,6
7,transparent,GERMANY,FRANCE,0,6,6
7,transparent,ITALY,FRANCE,1,5,6
7,transparent,RUSSIA,FRANCE,1,5,6
7,transparent,AUSTRIA,GERMANY,1,4,6
7,transparent,ENGLAND,GERMANY,1,3,6
7,transparent,FRANCE,GERMANY,1,6,6
7,transparent,GERMANY,GERMANY,1,6,6
7,transparent,ITALY,GERMANY,1,5,6
7,transparent,RUSSIA,GERMANY,1,5,6
7,transparent,AUSTRIA,ITALY,0,4,5
7,transparent,ENGLAND,ITALY,1,3,5
7,transparent,FRANCE,ITALY,1,6,5
7,transparent,GERMANY,ITALY,1,6,5
7,transparent,ITALY,ITALY,1,5,5
7,transparent,RUSSIA,ITALY,1,5,5
7,transparent,AUSTRIA,RUSSIA,0,4,5
7,transparent,ENGLAND,RUSSIA,1,3,5
7,transparent,FRANCE,RUSSIA,1,6,5
7,transparent,GERMANY,RUSSIA,0,6,5
7,transparent,ITALY,RUSSIA,1,5,5
7,transparent,RUSSIA,RUSSIA,1,5,5
7,transparent,AUSTRIA,TURKEY,1,4,5
7,transparent,ENGLAND,TURKEY,1,3,5
7,transparent,FRANCE,TURKEY,1,6,5
7,transparent,GERMANY,TURKEY,1,6,5
7,transparent,ITALY,TURKEY,1,5,5
7,transparent,RUSSIA,TURKEY,0,5,5
7,RL,TURKEY,TURKEY,1,5,5
9,transparent,AUSTRIA,AUSTRIA,1,4,4
9,transparent,ENGLAND,AUSTRIA,1,3,4
9,transparent,FRANCE,AUSTRIA,1,6,4
9,transparent,GERMANY,AUSTRIA,1,6,4
9,transparent,ITALY,AUSTRIA,0,5,4
9,transparent,RUSSIA,AUSTRIA,0,5,4
9,transparent,AUSTRIA,ENGLAND,1,4,3
9,transparent,ENGLAND,ENGLAND,1,3,3
9,transparent,FRANCE,ENGLAND,1,6,3
9,transparent,GERMANY,ENGLAND,1,6,3
9,transparent,ITALY,ENGLAND,1,5,3
9,transparent,RUSSIA,ENGLAND,1,5,3
9,transparent,AUSTRIA,FRANCE,1,4,6
9,transparent,ENGLAND,FRANCE,0,3,6
9,transparent,FRANCE,FRANCE,1,6,6
9,transparent,GERMANY,FRANCE,0,6,6
9,transparent,ITALY,FRANCE,1,5,6
9,transparent,RUSSIA,FRANCE,1,5,6
9,transparent,AUSTRIA,GERMANY,1,4,6
9,transparent,ENGLAND,GERMANY,1,3,6
9,transparent,FRANCE,GERMANY,0,6,6
9,transparent,GERMANY,GERMANY,1,6,6
9,transparent,ITALY,GERMANY,1,5,6
9,transparent,RUSSIA,GERMANY,1,5,6
9,RL,TURKEY,GERMANY,1,5,6
9,transparent,AUSTRIA,ITALY,0,4,5
9,transparent,ENGLAND,ITALY,1,3,5
9,transparent,FRANCE,ITALY,1,6,5
9,transparent,GERMANY,ITALY,1,6,5
9,transparent,ITALY,ITALY,1,5,5
9,transparent,RUSSIA,ITALY,1,5,5
9,transparent,AUSTRIA,RUSSIA,0,4,5
9,transparent,ENGLAND,RUSSIA,1,3,5
9,transparent,FRANCE,RUSSIA,1,6,5
9,transparent,GERMANY,RUSSIA,0,6,5
9,transparent,ITALY,RUSSIA,1,5,5
9,transparent,RUSSIA,RUSSIA,1,5,5
9,transparent,AUSTRIA,TURKEY,1,4,5
9,transparent,ENGLAND,TURKEY,1,3,5
9,transparent,FRANCE,TURKEY,1,6,5
9,transparent,GERMANY,TURKEY,1,6,5
9,transparent,ITALY,TURKEY,1,5,5
9,transparent,RUSSIA,TURKEY,0,5,5
9,RL,TURKEY,TURKEY,1,5,5
12,transparent,AUSTRIA,AUSTRIA,1,3,3
12,transparent,ENGLAND,AUSTRIA,1,3,3
12,transparent,FRANCE,AUSTRIA,1,6,3
12,transparent,GERMANY,AUSTRIA,1,6,3
12,transparent,ITALY,AUSTRIA,0,5,3
12,transparent,RUSSIA,AUSTRIA,0,6,3
12,RL,TURKEY,AUSTRIA,0,5,3
12,transparent,AUSTRIA,ENGLAND,1,3,3
12,transparent,ENGLAND,ENGLAND,1,3,3
12,transparent,FRANCE,ENGLAND,1,6,3
12,transparent,GERMANY,ENGLAND,0,6,3
12,transparent,ITALY,ENGLAND,1,5,3
12,transparent,RUSSIA,ENGLAND,1,6,3
12,transparent,AUSTRIA,FRANCE,1,3,6
12,transparent,ENGLAND,FRANCE,0,3,6
12,transparent,FRANCE,FRANCE,1,6,6
12,transparent,GERMANY,FRANCE,0,6,6
12,transparent,ITALY,FRANCE,1,5,6
12,transparent,RUSSIA,FRANCE,1,6,6
12,transparent,AUSTRIA,GERMANY,1,3,6
12,transparent,ENGLAND,GERMANY,0,3,6
12,transparent,FRANCE,GERMANY,0,6,6
12,transparent,GERMANY,GERMANY,1,6,6
12,transparent,ITALY,GERMANY,1,5,6
12,transparent,RUSSIA,GERMANY,1,6,6
12,transparent,AUSTRIA,ITALY,0,3,5
12,transparent,ENGLAND,ITALY,1,3,5
12,transparent,FRANCE,ITALY,1,6,5
12,transparent,GERMANY,ITALY,1,6,5
12,transparent,ITALY,ITALY,1,5,5
12,transparent,RUSSIA,ITALY,1,6,5
12,transparent,AUSTRIA,RUSSIA,0,3,6
12,transparent,ENGLAND,RUSSIA,1,3,6
12,transparent,FRANCE,RUSSIA,1,6,6
12,transparent,GERMANY,RUSSIA,0,6,6
12,transparent,ITALY,RUSSIA,1,5,6
12,transparent,RUSSIA,RUSSIA,1,6,6
12,RL,TURKEY,RUSSIA,1,5,6
12,transparent,AUSTRIA,TURKEY,1,3,5
12,transparent,ENGLAND,TURKEY,1,3,5
12,transparent,FRANCE,TURKEY,1,6,5
12,transparent,GERMANY,TURKEY,1,6,5
12,transparent,ITALY,TURKEY,0,5,5
12,transparent,RUSSIA,TURKEY,0,6,5
12,RL,TURKEY,TURKEY,1,5,5
14,transparent,AUSTRIA,AUSTRIA,1,3,3
14,transparent,ENGLAND,AUSTRIA,1,3,3
14,transparent,FRANCE,AUSTRIA,1,6,3
14,transparent,GERMANY,AUSTRIA,1,6,3
14,transparent,ITALY,AUSTRIA,0,5,3
14,transparent,RUSSIA,AUSTRIA,0,6,3
14,RL,TURKEY,AUSTRIA,0,5,3
14,transparent,AUSTRIA,ENGLAND,1,3,3
14,transparent,ENGLAND,ENGLAND,1,3,3
14,transparent,FRANCE,ENGLAND,1,6,3
14,transparent,GERMANY,ENGLAND,0,6,3
14,transparent,ITALY,ENGLAND,1,5,3
14,transparent,RUSSIA,ENGLAND,1,6,3
14,transparent,AUSTRIA,FRANCE,1,3,6
14,transparent,ENGLAND,FRANCE,0,3,6
14,transparent,FRANCE,FRANCE,1,6,6
14,transparent,GERMANY,FRANCE,0,6,6
14,transparent,ITALY,FRANCE,1,5,6
14,transparent,RUSSIA,FRANCE,1,6,6
14,transparent,AUSTRIA,GERMANY,1,3,6
14,transparent,ENGLAND,GERMANY,0,3,6
14,transparent,FRANCE,GERMANY,0,6,6
14,transparent,GERMANY,GERMANY,1,6,6
14,transparent,ITALY,GERMANY,1,5,6
14,transparent,RUSSIA,GERMANY,1,6,6
14,RL,TURKEY,GERMANY,1,5,6
14,transparent,AUSTRIA,ITALY,0,3,5
14,transparent,ENGLAND,ITALY,1,3,5
14,transparent,FRANCE,ITALY,1,6,5
14,transparent,GERMANY,ITALY,1,6,5
14,transparent,ITALY,ITALY,1,5,5
14,transparent,RUSSIA,ITALY,0,6,5
14,transparent,AUSTRIA,RUSSIA,0,3,6
14,transparent,ENGLAND,RUSSIA,1,3,6
14,transparent,FRANCE,RUSSIA,1,6,6
14,transparent,GERMANY,RUSSIA,0,6,6
14,transparent,ITALY,RUSSIA,1,5,6
14,transparent,RUSSIA,RUSSIA,1,6,6
14,transparent,AUSTRIA,TURKEY,1,3,5
14,transparent,ENGLAND,TURKEY,1,3,5
14,transparent,FRANCE,TURKEY,1,6,5
14,transparent,GERMANY,TURKEY,1,6,5
14,transparent,ITALY,TURKEY,0,5,5
14,transparent,RUSSIA,TURKEY,0,6,5
14,RL,TURKEY,TURKEY,1,5,5
17,transparent,AUSTRIA,AUSTRIA,1,2,2
17,transparent,ENGLAND,AUSTRIA,1,4,2
17,transparent,FRANCE,AUSTRIA,1,6,2
17,transparent,GERMANY,AUSTRIA,1,6,2
17,transparent,ITALY,AUSTRIA,0,7,2
17,transparent,RUSSIA,AUSTRIA,0,5,2
17,transparent,AUSTRIA,ENGLAND,1,2,4
17,transparent,ENGLAND,ENGLAND,1,4,4
17,transparent,FRANCE,ENGLAND,1,6,4
17,transparent,GERMANY,ENGLAND,0,6,4
17,transparent,ITALY,ENGLAND,1,7,4
17,transparent,RUSSIA,ENGLAND,1,5,4
17,transparent,AUSTRIA,FRANCE,1,2,6
17,transparent,ENGLAND,FRANCE,0,4,6
17,transparent,FRANCE,FRANCE,1,6,6
17,transparent,GERMANY,FRANCE,0,6,6
17,transparent,ITALY,FRANCE,1,7,6
17,transparent,RUSSIA,FRANCE,1,5,6
17,transparent,AUSTRIA,GERMANY,1,2,6
17,transparent,ENGLAND,GERMANY,0,4,6
17,transparent,FRANCE,GERMANY,0,6,6
17,transparent,GERMANY,GERMANY,1,6,6
17,transparent,ITALY,GERMANY,1,7,6
17,transparent,RUSSIA,GERMANY,1,5,6
17,transparent,AUSTRIA,ITALY,0,2,7
17,transparent,ENGLAND,ITALY,1,4,7
17,transparent,FRANCE,ITALY,1,6,7
17,transparent,GERMANY,ITALY,1,6,7
17,transparent,ITALY,ITALY,1,7,7
17,transparent,RUSSIA,ITALY,0,5,7
17,transparent,AUSTRIA,RUSSIA,0,2,5
17,transparent,ENGLAND,RUSSIA,1,4,5
17,transparent,FRANCE,RUSSIA,1,6,5
17,transparent,GERMANY,RUSSIA,0,6,5
17,transparent,ITALY,RUSSIA,1,7,5
17,transparent,RUSSIA,RUSSIA,1,5,5
17,RL,TURKEY,RUSSIA,1,4,5
17,transparent,AUSTRIA,TURKEY,1,2,4
17,transparent,ENGLAND,TURKEY,1,4,4
17,transparent,FRANCE,TURKEY,1,6,4
17,transparent,GERMANY,TURKEY,1,6,4
17,transparent,ITALY,TURKEY,0,7,4
17,transparent,RUSSIA,TURKEY,0,5,4
17,RL,TURKEY,TURKEY,1,4,4
19,transparent,AUSTRIA,AUSTRIA,1,2,2
19,transparent,ENGLAND,AUSTRIA,1,4,2
19,transparent,FRANCE,AUSTRIA,1,6,2
19,transparent,GERMANY,AUSTRIA,1,6,2
19,transparent,ITALY,AUSTRIA,0,7,2
19,transparent,RUSSIA,AUSTRIA,0,5,2
19,transparent,AUSTRIA,ENGLAND,1,2,4
19,transparent,ENGLAND,ENGLAND,1,4,4
19,transparent,FRANCE,ENGLAND,0,6,4
19,transparent,GERMANY,ENGLAND,0,6,4
19,transparent,ITALY,ENGLAND,1,7,4
19,transparent,RUSSIA,ENGLAND,1,5,4
19,transparent,AUSTRIA,FRANCE,1,2,6
19,transparent,ENGLAND,FRANCE,0,4,6
19,transparent,FRANCE,FRANCE,1,6,6
19,transparent,GERMANY,FRANCE,0,6,6
19,transparent,ITALY,FRANCE,1,7,6
19,transparent,RUSSIA,FRANCE,1,5,6
19,transparent,AUSTRIA,GERMANY,1,2,6
19,transparent,ENGLAND,GERMANY,0,4,6
19,transparent,FRANCE,GERMANY,0,6,6
19,transparent,GERMANY,GERMANY,1,6,6
19,transparent,ITALY,GERMANY,1,7,6
19,transparent,RUSSIA,GERMANY,1,5,6
19,transparent,AUSTRIA,ITALY,0,2,7
19,transparent,ENGLAND,ITALY,1,4,7
19,transparent,FRANCE,ITALY,1,6,7
19,transparent,GERMANY,ITALY,1,6,7
19,transparent,ITALY,ITALY,1,7,7
19,transparent,RUSSIA,ITALY,0,5,7
19,RL,TURKEY,ITALY,0,4,7
19,transparent,AUSTRIA,RUSSIA,0,2,5
19,transparent,ENGLAND,RUSSIA,1,4,5
19,transparent,FRANCE,RUSSIA,1,6,5
19,transparent,GERMANY,RUSSIA,0,6,5
19,transparent,ITALY,RUSSIA,1,7,5
19,transparent,RUSSIA,RUSSIA,1,5,5
19,transparent,AUSTRIA,TURKEY,1,2,4
19,transparent,ENGLAND,TURKEY,1,4,4
19,transparent,FRANCE,TURKEY,1,6,4
19,transparent,GERMANY,TURKEY,1,6,4
19,transparent,ITALY,TURKEY,0,7,4
19,transparent,RUSSIA,TURKEY,0,5,4
19,RL,TURKEY,TURKEY,1,4,4
22,transparent,AUSTRIA,AUSTRIA,1,1,1
22,transparent,ENGLAND,AUSTRIA,1,4,1
22,transparent,FRANCE,AUSTRIA,1,7,1
22,transparent,GERMANY,AUSTRIA,1,6,1
22,transparent,ITALY,AUSTRIA,0,7,1
22,transparent,RUSSIA,AUSTRIA,0,5,1
22,RL,TURKEY,AUSTRIA,0,4,1
22,transparent,AUSTRIA,ENGLAND,1,1,4
22,transparent,ENGLAND,ENGLAND,1,4,4
22,transparent,FRANCE,ENGLAND,0,7,4
22,transparent,GERMANY,ENGLAND,0,6,4
22,transparent,ITALY,ENGLAND,1,7,4
22,transparent,RUSSIA,ENGLAND,1,5,4
22,transparent,AUSTRIA,FRANCE,1,1,7
22,transparent,ENGLAND,FRANCE,0,4,7
22,transparent,FRANCE,FRANCE,1,7,7
22,transparent,GERMANY,FRANCE,0,6,7
22,transparent,ITALY,FRANCE,1,7,7
22,transparent,RUSSIA,FRANCE,1,5,7
22,transparent,AUSTRIA,GERMANY,1,1,6
22,transparent,ENGLAND,GERMANY,0,4,6
22,transparent,FRANCE,GERMANY,0,7,6
22,transparent,GERMANY,GERMANY,1,6,6
22,transparent,ITALY,GERMANY,1,7,6
22,transparent,RUSSIA,GERMANY,1,5,6
22,transparent,AUSTRIA,ITALY,0,1,7
22,transparent,ENGLAND,ITALY,1,4,7
22,transparent,FRANCE,ITALY,1,7,7
22,transparent,GERMANY,ITALY,1,6,7
22,transparent,ITALY,ITALY,1,7,7
22,transparent,RUSSIA,ITALY,0,5,7
22,RL,TURKEY,ITALY,0,4,7
22,transparent,AUSTRIA,RUSSIA,0,1,5
22,transparent,ENGLAND,RUSSIA,1,4,5
22,transparent,FRANCE,RUSSIA,1,7,5
22,transparent,GERMANY,RUSSIA,0,6,5
22,transparent,ITALY,RUSSIA,0,7,5
22,transparent,RUSSIA,RUSSIA,1,5,5
22,RL,TURKEY,RUSSIA,0,4,5
22,transparent,AUSTRIA,TURKEY,1,1,4
22,transparent,ENGLAND,TURKEY,1,4,4
22,transparent,FRANCE,TURKEY,1,7,4
22,transparent,GERMANY,TURKEY,1,6,4
22,transparent,ITALY,TURKEY,0,7,4
22,transparent,RUSSIA,TURKEY,0,5,4
22,RL,TURKEY,TURKEY,1,4,4
23,transparent,AUSTRIA,AUSTRIA,1,1,1
23,transparent,ENGLAND,AUSTRIA,1,4,1
23,transparent,FRANCE,AUSTRIA,1,7,1
23,transparent,GERMANY,AUSTRIA,1,6,1
23,transparent,ITALY,AUSTRIA,0,7,1
23,transparent,RUSSIA,AUSTRIA,0,5,1
23,RL,TURKEY,AUSTRIA,0,4,1
23,transparent,AUSTRIA,ENGLAND,1,1,4
23,transparent,ENGLAND,ENGLAND,1,4,4
23,transparent,FRANCE,ENGLAND,0,7,4
23,transparent,GERMANY,ENGLAND,0,6,4
23,transparent,ITALY,ENGLAND,1,7,4
23,transparent,RUSSIA,ENGLAND,1,5,4
23,transparent,AUSTRIA,FRANCE,1,1,7
23,transparent,ENGLAND,FRANCE,0,4,7
23,transparent,FRANCE,FRANCE,1,7,7
23,transparent,GERMANY,FRANCE,0,6,7
23,transparent,ITALY,FRANCE,1,7,7
23,transparent,RUSSIA,FRANCE,1,5,7
23,transparent,AUSTRIA,GERMANY,1,1,6
23,transparent,ENGLAND,GERMANY,0,4,6
23,transparent,FRANCE,GERMANY,0,7,6
23,transparent,GERMANY,GERMANY,1,6,6
23,transparent,ITALY,GERMANY,1,7,6
23,transparent,RUSSIA,GERMANY,1,5,6
23,transparent,AUSTRIA,ITALY,0,1,7
23,transparent,ENGLAND,ITALY,1,4,7
23,transparent,FRANCE,ITALY,1,7,7
23,transparent,GERMANY,ITALY,1,6,7
23,transparent,ITALY,ITALY,1,7,7
23,transparent,RUSSIA,ITALY,0,5,7
23,RL,TURKEY,ITALY,0,4,7
23,transparent,AUSTRIA,RUSSIA,0,1,5
23,transparent,ENGLAND,RUSSIA,1,4,5
23,transparent,FRANCE,RUSSIA,1,7,5
23,transparent,GERMANY,RUSSIA,0,6,5
23,transparent,ITALY,RUSSIA,0,7,5
23,transparent,RUSSIA,RUSSIA,1,5,5
23,RL,TURKEY,RUSSIA,0,4,5
23,transparent,AUSTRIA,TURKEY,1,1,4
23,transparent,ENGLAND,TURKEY,1,4,4
23,transparent,FRANCE,TURKEY,1,7,4
23,transparent,GERMANY,TURKEY,1,6,4
23,transparent,ITALY,TURKEY,0,7,4
23,transparent,RUSSIA,TURKEY,0,5,4
23,RL,TURKEY,TURKEY,1,4,4
25,transparent,AUSTRIA,AUSTRIA,1,1,1
25,transparent,ENGLAND,AUSTRIA,1,4,1
25,transparent,FRANCE,AUSTRIA,1,7,1
25,transparent,GERMANY,AUSTRIA,1,6,1
25,transparent,ITALY,AUSTRIA,0,9,1
25,transparent,RUSSIA,AUSTRIA,0,6,1
25,RL,TURKEY,AUSTRIA,0,1,1
25,transparent,AUSTRIA,ENGLAND,1,1,4
25,transparent,ENGLAND,ENGLAND,1,4,4
25,transparent,FRANCE,ENGLAND,0,7,4
25,transparent,GERMANY,ENGLAND,0,6,4
25,transparent,ITALY,ENGLAND,1,9,4
25,transparent,RUSSIA,ENGLAND,1,6,4
25,transparent,AUSTRIA,FRANCE,1,1,7
25,transparent,ENGLAND,FRANCE,0,4,7
25,transparent,FRANCE,FRANCE,1,7,7
25,transparent,GERMANY,FRANCE,0,6,7
25,transparent,ITALY,FRANCE,1,9,7
25,transparent,RUSSIA,FRANCE,1,6,7
25,transparent,AUSTRIA,GERMANY,1,1,6
25,transparent,ENGLAND,GERMANY,0,4,6
25,transparent,FRANCE,GERMANY,0,7,6
25,transparent,GERMANY,GERMANY,1,6,6
25,transparent,ITALY,GERMANY,1,9,6
25,transparent,RUSSIA,GERMANY,1,6,6
25,transparent,AUSTRIA,ITALY,0,1,9
25,transparent,ENGLAND,ITALY,1,4,9
25,transparent,FRANCE,ITALY,1,7,9
25,transparent,GERMANY,ITALY,1,6,9
25,transparent,ITALY,ITALY,1,9,9
25,transparent,RUSSIA,ITALY,0,6,9
25,RL,TURKEY,ITALY,0,1,9
25,transparent,AUSTRIA,RUSSIA,0,1,6
